"Compare","Comparar"
"Go to Wish List","Ir a Lista de Deseos"
"Go to Wish List page","Ir a página de Lista de Deseos"
"Are you sure you want to remove this item from your Compare Products list?","¿Estás seguro de que deseas eliminar este artículo de tu lista de comparación?"
"Are you sure you want to remove all items from your Compare Products list?","¿Estás seguro de que deseas eliminar todos los artículos de tu lista de comparación?"
"Are you sure you want to remove all items from your shopping cart?","¿Estás seguro de que deseas eliminar todos los artículos de tu carrito de compras?"
"Are you sure you want to delete this address?","¿Estás seguro de que deseas eliminar esta dirección?"
"Remove all Products","Eliminar todos los productos"
"Remove product \"%1\" from cart","Eliminar producto \"%1\" del carrito"
"Remove product \"%1\" from My Wish List","Eliminar producto \"%1\" de Mi Lista de Deseos"
"Shop By","Filtrar por"
"Shopping Cart","Carrito de Compras"
"Shopping Cart Items","Artículos del Carrito"
"Category","Categoría"
"Manufacturer","Marca"
"Position","Posición"
"Home","Inicio"
"Relevance","Relevancia"
"Product Name","Nombre"
"You added %1 to your shopping cart.","Agregaste %1 a tu carrito de compras."
"You added %1 to your <a href=\"%2\">shopping cart</a>.","Agregaste %1 a tu <a href=\"%2\">carrito de compras</a>."
"Add to Cart","Agregar al Carrito"
"Add To Cart","Agregar al Carrito"
"My Account","Mi Cuenta"
"Sign In","Iniciar Sesión"
"Sign Out","Cerrar Sesión"
"Create an Account","Crear una Cuenta"
"Search","Buscar"
"Search entire store here...","Buscar en toda la tienda..."
"Sort By","Ordenar por"
"Show","Mostrar"
"per page","por página"
"of","de"
"Page","Página"
"Next","Siguiente"
"Previous","Anterior"
"Loading...","Cargando..."
"Filter","Filtrar"
"Clear All","Limpiar Todo"
"In stock","En stock"
"Out of stock","Agotado"
"Price","Precio"
"Reviews","Reseñas"
"Description","Descripción"
"More Information","Más Información"
"Write a Review","Escribir una Reseña"
"Be the first to review this product","Sé el primero en evaluar este producto"
"Product","Producto"
"Details","Detalles"
"Qty","Cant."
"Remove","Eliminar"
